時間,ツイート本文,いいね,リツイート,ID
2022-11-19 03:21:35+00:00,"こちらこそ素敵な講座ありがとうございます☺️

みなさん、React学ぶならじゃけぇさんの講座おすすめですよ🔥 https://t.co/ggk7vThZXn",7,1,1593806665639690244
2022-11-19 00:40:08+00:00,クリエイティブテストとして、複数キャンペーンを同時に走らせはじめたときの、管理画面確認回数は異常。季節性が強い商品だからこそ、タイミング的なところも変数に考慮しなければいけないのが難しい。,3,0,1593766034405986304
2022-11-18 10:45:00+00:00,"📚おすすめ講座📚
いまにゅの　#Udemyおすすめ講座　を5つ紹介しました！講師＆受講生視点で、プログラミング以外の領域もピックアップしています。
今なら対象講座1200円から購入できる今年最大のセール開催中なので要チェック！
年末年始の猛烈学習期間に備えましょう！
https://t.co/kWZ8GUcLHM
#PR https://t.co/8x6sbp7xQi",31,5,1593555867655229440
2022-11-18 06:14:00+00:00,すごすぎる😭 https://t.co/PNmrCCteqH,3,0,1593487669019176960
2022-11-15 12:03:59+00:00,エラーが出ると、なんか自分悪いことしたかな？ってなりますよね。ルール通りに書いてなかっただけなので、恐れなくて大丈夫です。初学者の頃は、エラーがでる怖さ結構ありますけど、徐々に慣れてくるはずです。エラーを解決するのが楽しくなるはずです。僕はいまだにエラーが怖いです。,13,0,1592488582044057600
2022-11-15 08:01:31+00:00,書籍購入者限定でウェビナー開催しようかな。書籍買ったよ！って人で、興味ある方はいいね・コメントください！,20,0,1592427563179454465
2022-11-15 01:39:08+00:00,前職で営業やってた頃は、問い合わせがきたら1分以内に電話したり、すぐ問い合わせに返答したりしていました。レスポンス速すぎてビビる人も結構いましたが、それくらいのスピード感でやらないとってスタンスが今もいきてます。,17,1,1592331330888794114
2022-11-14 06:24:55+00:00,懐かしのジュンク堂書店池袋本店に...！いかねば。 https://t.co/xmGCisgGLv,13,0,1592040865085935617
2022-11-14 06:23:17+00:00,サンクコストとの駆け引きがこれまた難しいと感じていたが、もはやサンクコストという概念気にしないくらいPDCA回すほうがいいと感じた。,8,0,1592040455252082691
2022-11-14 06:01:56+00:00,"ありがとうございます！🔥
楽しんでいただけると嬉しいです！ https://t.co/8Rg1waZ87Y",3,2,1592035081375580161
2022-11-13 08:31:10+00:00,プログラミングを教えている身ではありますが、コードなんて書かなくてもいい場合がほとんどです。あくまで1つの手段であるってことを認識した上で、選択肢を拡張するためにプログラミングがあるくらいに思ったほうが気楽に向きえます。世の中には便利なツール・サービスたくさんありますからね。,24,1,1591710247802241025
2022-11-13 08:12:20+00:00,ありがとうございます！！！ https://t.co/tJtcq8GnZ2,3,0,1591705508792393732
2022-11-13 08:09:03+00:00,Streamlitいいですよね〜！かなりの頻度でアップデートされているので、欲しい機能がどんどん追加されている印象です！是非使いこなしてみてください！ https://t.co/Bi3MjVMJ1c,5,0,1591704681247834112
2022-11-13 00:53:26+00:00,本格的に英語学ぶ必要が出てきたかも。,6,0,1591595056225468417
2022-11-12 14:40:42+00:00,プログラミングの方も少しずつ講座仕込んでるのでみなさん、しばしお待ちを！code4biz GASコース、Google Chrome拡張機能開発講座、IT用語100選。撮影たくさんや。,10,0,1591440855529029632
